Type,title,Price VND,Price USD,Area (m2),Width,Length,bedrooms,bathrooms,district,price,,
Villa,"+++ 15,3 TỶ_VIP QUẬN 5_NGAY BV CHỢ RẪY-CHỢ THIẾC_PHÙ HỢP KD PHÒNG MẠCH_P.KHÁM",15300000000,"612,000",54,3.6,15,5,5,Quan 5,11333.33,,
House,"5 tầng ô tô đến sát nhà đường Vĩnh Viễn Quận 10 6,5 tỷ TL",6500000000,"260,000",23,3,7.5,4,3,Quan 10,11304.35,,
Land,"Siêu phẩm lô gốc 2 MT Nguyễn Chí Thanh Quận 11, 5.5x19, 5Lầu chỉ 25 tỷ",25000000000,"1,000,000",89,5.5,19,9,3,Quan 11,11235.96,,
House,"Bán Nhà MẶT TIỀN KD đường Đinh Công Tráng,Q.1,DT:5mx20m,KC: 5 lầu,Giá:28 tỷ",28000000000,"1,120,000",100,5,20,1,1,Quan 1,11200,,
House,"Bán nhà mặt phố góc 2 mặt tiền Đường Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, TP HCM giá 28 tỷ",28000000000,"1,120,000",100,5,20,5,5,Quan 7,11200,,
House,Bán nhà AN KHÁNH (BÌNH AN CŨ) - Q.2 - 96M2 - 4 TẦNG,26500000000,"1,060,000",96,5,20,4,4,Quan 2,11041.67,,
House,Hẻm Ôtô Tránh Phan Xích Long Quận Phú Nhuận Phường 3.,8250000000,"330,000",30,3,10,3,4,Quan Phu Nhuan,11000,,
House,"CẠNH NHÀ NS. HOÀI LINH - NHÀ ĐẸP 4 TẦNG, FULL NỘI THẤT",8400000000,"336,000",31,8.5,4,3,4,Quan Phu Nhuan,10838.71,,
Land,Mặt Tiền Đồng Đen Phường 11 Quận Tân Bình.,16800000000,"672,000",63,4.3,18.5,2,2,Quan Tan Binh,10666.67,,
House,SIÊU PHẨM NHÀ PHỐ XÂY MỚI 100% CUỐI 2024 - FULL nội thất mới.,5555000000,"222,200",21,3,7,3,4,Quan Binh Thanh,10580.95,,
House,SIÊU PHẨM NHÀ PHỐ XÂY MỚI 100% CUỐI 2024 - FULL nội thất mới.,5555000000,"222,200",21,3,7,3,4,Quan Binh Thanh,10580.95,,
House,SIÊU PHẨM NHÀ PHỐ XÂY MỚI 100% CUỐI 2024 - FULL nội thất mới.,5555000000,"222,200",21,3,7,3,4,Quan Binh Thanh,10580.95,,
House,SIÊU PHẨM NHÀ PHỐ XÂY MỚI 100% CUỐI 2024 - FULL nội thất mới.,5555000000,"222,200",21,3,7,3,4,Quan Binh Thanh,10580.95,,
House,Hẻm Xe Tải Đường Nguyễn Thiện Thuật Quận 3 Phường 3.,9200000000,"368,000",35,3.4,9,3,4,Quan 3,10514.29,,
House,SIÊU PHẨM NHÀ PHỐ XÂY MỚI 100% CUỐI 2024 - FULL nội thất mới.,5500000000,"220,000",21,3,7,3,4,Quan Binh Thanh,10476.19,,
House,"Phần Mềm Đăng Bài Nhóm, Fanpage và Nuôi Nick Facebook tốt nhất hiện nay vshorts",10000000000,"400,000",40,4,11,3,4,Thanh pho Thu Đuc,10000,,
House,Vshorts Tool reup reels facebook  và Phần mềm render video không vi phạm bản quyền tốt nhất,10000000000,"400,000",40,4,11,3,4,Quan Tan Phu,10000,,
House,"BÁN NHÀ THẬT CHÍNH CHỦ MẶT TIỀN HỒNG BÀNG, QUẬN 6 - VỊ TRÍ VÀNG, GIÁ 18 TỶ! 72M2, 4 TẦNG, SỔ HỒNG",18000000000,"720,000",72,4,18,5,5,Quan 6,10000,,
House,GIẢM 3 TỶ BÁN NHÀ MẶT TIỀN CÙ LAO PHÚ NHUẬN 6X14M ĐÚC 3 TẤM,21000000000,"840,000",84,6,14,5,5,Quan Phu Nhuan,10000,,
House,GIẢM 3 TỶ BÁN NHÀ MẶT TIỀN CÙ LAO PHÚ NHUẬN 6X14M ĐÚC 3 TẤM,21000000000,"840,000",84,6,14,5,5,Quan Phu Nhuan,10000,,
House,GIẢM 3 TỶ BÁN NHÀ MẶT TIỀN CÙ LAO PHÚ NHUẬN 6X14M ĐÚC 3 TẤM,21000000000,"840,000",84,6,14,5,5,Quan Phu Nhuan,10000,,
House,BÁN NHÀ DOÃN KẾ THIỆN 115M – 2 THOÁNG TRƯỚC SAU – VỈA HÈ ĐÁ BÓNG – Ô TÔ 16 CHỖ VÀO NHÀ – XÂY TOÀ,25000000000,"1,000,000",100,5,20,4,3,Quan 1,10000,,
Land,Siêu phẩm - MTKD quận 10 - ngang 4.7m - kinh doanh sầm uất - pháp lý chuẩn - chỉ 18 tỷ thương lượng,18000000000,"720,000",72,4,18,5,5,Quan 10,10000,,
Land,MT KINH DOANH SÂM UẤT Q6 - GIA PHÚ SÁT KHU CHỢ LỚN 72M2 GIÁ CHỈ 18 TỶ,18000000000,"720,000",72,3.8,19,3,3,Quan 6,10000,,
Land,"MẶT TIỀN ĐƯỜNG PHAN HUY THỰC , TÂN KIỂNG , QUẬN 7 - 6TẦNG - 77m2 - 18ty5.",18500000000,"740,000",74,4.1,18,2,6,Quan 7,10000,,
Apartment,Căn Góc Cityland Phan Văn Trị - 5 Tầng - Cho Thuê 50tr/Tháng. Sổ Hồng Riêng,24500000000,"980,000",100,5,20,5,6,Quan Go Vap,9800,,
House,Bán Nhà mới 5 tầng hẻm xe hơi thoáng full nội thất mới tại P6 bình thạnh,4800000000,"192,000",19.8,3.3,6,3,4,Quan Binh Thanh,9696.97,,
House,Bán Nhà mới 5 tầng hẻm xe hơi thoáng full nội thất mới tại P6 bình thạnh,4800000000,"192,000",19.8,3.3,6,3,4,Quan Binh Thanh,9696.97,,
House,⭐️Bán Nhà Mặt Tiền Chợ Lớn Quận 6 - 4 Tầng - Chỉ 17.3 Tỷ,17300000000,"692,000",72,4,18,5,5,Quan 6,9611.11,,
House,Hẻm Ôtô Đường Phan Văn Hân Phường 17 Quận Bình Thạnh,9600000000,"384,000",40,3.7,12,5,4,Quan Binh Thanh,9600,,
House,"Bán nhà vị trí đẹp mặt tiền đường Cộng Hòa, phường 12, Q. Tân Bình, 5x20m 6 tầng, giá 24 tỷ tl",24000000000,"960,000",100,5,20,6,6,Quan Tan Binh,9600,,
House,"Nhà đẹp mặt tiền đường Ngô Thị Thu Minh ,Tân Bình, 4,2x16m 4 tầng chỉ 16 tỷ",16000000000,"640,000",67.2,4.2,16,5,6,Quan Tan Binh,9523.81,,
House,Siêu Phẩm Đường Cầm Bá Thước Quận Phú Nhuận Phường 7.,8800000000,"352,000",37,4.1,8.5,4,5,Quan Phu Nhuan,9513.51,,
House,QUẬN 7 MẶT TIỀN ĐƯỜNG 85 TÂN QUY NHÀ 6 TẦNG - MỚI KENG HOÀN CÔNG ĐỦ,18800000000,"752,000",80,4,20,6,7,Quan 7,9400,,
Apartment,SIÊU PHẨM 7 TẦNG THANG MÁY XỊN - ĐƯỜNG 12M - CÓ VỈA HÈ - LÊ ĐẠI HÀNH - HOÀN CÔNG ĐỦ- DT 4x11M -,10300000000,"412,000",44,4,11,5,7,Quan 11,9363.64,,
House,"Ngay Big C Quận 10, 36m2 nở hậu, 2 tầng đúc, hẻm xe hơi chỉ 8.4 tỷ",8400000000,"336,000",36,3.6,10,2,2,Quan 10,9333.33,,
House,Hẻm Ôtô 6m Lý Chính Thắng Quận 3 Phường 9.,10500000000,"420,000",45,4.2,10.5,3,3,Quan 3,9333.33,,
House,"Bán Nhà MẶT TIỀN KD đường Nguyễn Thượng Hiền,Q.3,DT:4,03mx15m,KC:2 lầu,,Giá:14 tỷ",14000000000,"560,000",60,4.03,15,4,5,Quan 3,9333.33,,
House,"Bán nhà riêng 37m2 4 tầng 4pn Hưng Phú phường 10 quận 8 giá chỉ 8,6 tỷ",8600000000,"344,000",37,3.1,12,4,4,Quan 8,9297.3,,
House,"Bán nhà riêng 37m2 4 tầng 4pn Hưng Phú phường 10 quận 8 giá chỉ 8,6 tỷ",8600000000,"344,000",37,3.1,12,4,4,Quan 8,9297.3,,
House,Nhà mặt tiền kinh doanh Tùng Thiện Vương P13Q8,8800000000,"352,000",38,3,12.5,4,5,Quan 8,9263.16,,
House,Nhà mặt tiền kinh doanh Tùng Thiện Vương P13Q8,8800000000,"352,000",38,3,12.5,4,5,Quan 8,9263.16,,
House,"Nhà khu Tô Hiến Thành Quận 10 - Trệt, Lửng, 2 Lầu Sân Thượng, 2PN 3WC - Nhỉnh 5,75 Tỷ TL",5750000000,"230,000",25,4.1,6.2,3,3,Quan 10,9200,,
House,Hẻm Ôtô Đường Nguyễn Văn Đậu Quận Bình Thạnh Phường 11.,11500000000,"460,000",50,5.6,9.5,5,6,Quan Binh Thanh,9200,,
House,"Bán nhà mặt phố tại Phường Tân Quy, Quận 7, TP HCM giá 19 tỷ  500 triệu, 5 lầu, 5 Pn sổ hồng",19500000000,"780,000",85,5,17,5,5,Quan 7,9176.47,,
House,"Siêu phẩm dòng tiền, tòa CHDV Ngang 8m Quận 3, 7 tầng, 22 phòng CHDV",27000000000,"1,080,000",118,8,15,2,2,Quan 3,9152.54,,
Land,Mặt Tiền Đường Nguyễn Kiệm Quận Phú Nhuận Phường 4.,18200000000,"728,000",80,4,20,7,5,Quan Phu Nhuan,9100,,
House,***SIÊU HIẾM QUẬN 5_HẺM XE HƠI NGUYỄN TRÃI NGAY NGÃ 4 TRẦN BÌNH TRỌNG,74900000000,"2,996,000",330,15,22,6,6,Quan 5,9078.79,,
House,"Bán nhà Điện Biên Phủ, P1, Q3, Dt 4.3m x 13m, hẻm xe tải, chỉ 12.7 tỷ",12700000000,"508,000",56,4.3,13,1,1,Quan 3,9071.43,,
House,"Chỉ 19 tỷ nhà đẹp ngang 4,2m dài 20m mặt tiền đường Chu Văn An , Bình Thạnh đoạn đẹp 5 tầng đúc",19000000000,"760,000",84,4.2,20,5,6,Quan Binh Thanh,9047.62,,
Villa,HXH 7 CHỖ ĐH HUTECH KHU D BÌNH THẠNH - 4 TẦNG BTCT,13500000000,"540,000",60,5,12,5,4,Quan Binh Thanh,9000,,
Villa,HXH 7 CHỖ ĐH HUTECH KHU D BÌNH THẠNH - 4 TẦNG BTCT,13500000000,"540,000",60,5,12,5,4,Quan Binh Thanh,9000,,
House,BÁN NHÀ KHU SẦM UẤT HOÀNG VĂN THỤ PHÚ NHUẬN .,6950000000,"278,000",31,3.1,10,4,3,Quan Phu Nhuan,8967.74,,
House,Bán nhà mặt tiền hẻm - tran huy liệu - Phú nhuận - to ho chi minh,6700000000,"268,000",30,34,85,2,3,Quan Phu Nhuan,8933.33,,
House,"Để tin đăng bán nhà đất thu hút khách hàng, cần đảm bảo các yếu tố sau",10000000000,"400,000",45,5,9,3,3,Huyen Cu Chi,8888.89,,
House,"Để tin đăng bán nhà đất thu hút khách hàng, cần đảm bảo các yếu tố sau",10000000000,"400,000",45,5,9,3,3,Huyen Cu Chi,8888.89,,
House,"Để tin đăng bán nhà đất thu hút khách hàng, cần đảm bảo các yếu tố sau",10000000000,"400,000",45,5,9,3,3,Huyen Cu Chi,8888.89,,
House,"Góc 3 mặt hẻm kinh doanh Quận 10, ngang 5.7m chỉ 13.9 tỷ, vị trí cực đẹp.",13900000000,"556,000",63,5.7,10,2,2,Quan 10,8825.4,,
House,Bán nhà mặt tiền Mai Văn Vĩnh 5.2*17 5 tầng Tân Quy Quận 7 giá chỉ 19 tỷ,19000000000,"760,000",87,5.2,17,6,5,Quan 7,8735.63,,
House,Bán nhà mặt tiền Mai Văn Vĩnh 5.2*17 5 tầng Tân Quy Quận 7 giá chỉ 19 tỷ,19000000000,"760,000",87,5.2,17,6,5,Quan 7,8735.63,,
House,"71m2! Khu VIP! Đường 6m xe tải thông! Bán nhà 3 tầng Hoàng Văn Thụ, P8. Gần sân bay. 0938.159985",15500000000,"620,000",71,4,17,6,3,Quan Phu Nhuan,8732.39,,
House,"71m2! Khu VIP! Đường 6m xe tải thông! Bán nhà 3 tầng Hoàng Văn Thụ, P8. Gần sân bay. 0938.159985",15500000000,"620,000",71,4,17,6,3,Quan Phu Nhuan,8732.39,,
House,"71m2! Khu VIP! Đường 6m xe tải thông! Bán nhà 3 tầng Hoàng Văn Thụ, P8. Gần sân bay. 0938.159985",15500000000,"620,000",71,4,17,6,3,Quan Phu Nhuan,8732.39,,
House,"71m2! Khu VIP! Đường 6m xe tải thông! Bán nhà 3 tầng Hoàng Văn Thụ, P8. Gần sân bay. 0938.159985",15500000000,"620,000",71,4,17,6,3,Quan Phu Nhuan,8732.39,,
House,"71m2! Khu VIP! Đường 6m xe tải thông! Bán nhà 3 tầng Hoàng Văn Thụ, P8. Gần sân bay. 0938.159985",15500000000,"620,000",71,4,17,6,3,Quan Phu Nhuan,8732.39,,
House,"SIÊU PHẨM TÒA NHÀ CHDV Q3 , GẦN BỜ KÈ - THU NHẬP 430Tr/NĂM - LÊ VĂN SỸ, P12, Q10",12900000000,"516,000",59.28,3.8,15.6,1,1,Quan 10,8704.45,,
House,"SIÊU PHẨM TÒA NHÀ CHDV Q3 , GẦN BỜ KÈ - THU NHẬP 430Tr/NĂM - LÊ VĂN SỸ, P12, Q10",12900000000,"516,000",59.28,3.8,15.6,2,2,Quan 10,8704.45,,
House,"SIÊU PHẨM TÒA NHÀ CHDV Q3 , GẦN BỜ KÈ - THU NHẬP 430Tr/NĂM - LÊ VĂN SỸ, P12, Q10",12900000000,"516,000",59.28,3.8,15.6,2,2,Quan 10,8704.45,,
House,"SIÊU PHẨM TÒA NHÀ CHDV Q3 , GẦN BỜ KÈ - THU NHẬP 430Tr/NĂM - LÊ VĂN SỸ, P12, Q10",12900000000,"516,000",59.28,3.8,15.6,2,2,Quan 10,8704.45,,
House,"SIÊU PHẨM TÒA NHÀ CHDV Q3 , GẦN BỜ KÈ - THU NHẬP 430Tr/NĂM - LÊ VĂN SỸ, P12, Q10",12900000000,"516,000",59.28,3.8,15.6,2,2,Quan 10,8704.45,,
Villa,"Bán biệt thự Him Lam Kênh Tẻ Q 7 giá 34,5 tỷ sổ hồng, đang cho Thuê",43500000000,"1,740,000",200,10,20,6,6,Quan 7,8700,,
House,BÁN NHÀ KHU SẦM UẤT HOÀNG VĂN THỤ PHÚ NHUẬN .,6950000000,"278,000",32,3.2,10,2,2,Quan Phu Nhuan,8687.5,,
Villa,"Cần Bán Gấp Căn Biệt Thự, Lê Đức Thọ, Gò Vấp, 37,9 tỷ TL",37900000000,"1,516,000",176,8,22,7,6,Quan Go Vap,8613.64,,
House,Hẻm Ôtô Nơ Trang Long Quận Bình Thạnh Phường 7.,7500000000,"300,000",35,3.1,12,4,3,Quan Binh Thanh,8571.43,,
House,TRUNG TÂM Q3 - LÊ VĂN SỸ - DT 54M2 - NGANG KHỦNG 7M - XE TẢI VI VU - CHỈ NHỈNH 11 TỶ,11499000000,"459,960",54,7,9,4,4,Quan 3,8517.78,,
House,Đường Trần Đình Xu Quận 1 Phường Cô Giang.,11700000000,"468,000",55,3.9,14,7,4,Quan 1,8509.09,,
Land,💢  MẶT TIỀN ĐƯỜNG 12M BÀU CÁT 6 - KHU VIP BÀU CÁT - 71M2 (4x18) - GIÁ 15.1 TỶ  💢,15100000000,"604,000",71,4,18,5,4,Quan Tan Binh,8507.04,,
Villa,"BIỆT THỰ QUẬN 3, DT 170M2, 4 TẦNG, GIÁ BÁN NHANH 36 TỶ, CÓ THƯƠNG LƯỢNG",36000000000,"1,440,000",170,9,20,5,5,Quan 3,8470.59,,
House,Bán nhà riêng 5*18 4 tầng 5pn 6wc tân Phong quận 7 giá chỉ có 19 tỷ,19000000000,"760,000",90,5,18,5,6,Quan 7,8444.44,,
House,"Bán nhà Đẹp, Hiếm gần Nguyễn Sơn, Tân Phú, HXH, giá 13 tỷ 5",13500000000,"540,000",64,4,16,4,5,Quan Tan Phu,8437.5,,
House,"BÁN NHÀ MẶT TIỀN KD QUẬN 8, 5 TẦNG 3.6X14 6PN 7WC NHỈNH 10 TỶ NGAY CẦU NGUYỄN TRI PHƯƠNG",10500000000,"420,000",50,3.6,14,6,7,Quan 8,8400,,
Land,"Mặt tiền kinh doanh Tô Hiến Thành Quận 10, 3x21, 4 tầng, gara xe hơi chỉ 13 tỷ.",13000000000,"520,000",62,3,21,3,4,Quan 10,8387.1,,
House,"Cần BÁN HOAC CHO THUÊ căn nhà biệt thự mặt tiền đường Số 64, Thảo Điền . Q2",32000000000,"1,280,000",153,9,17,5,6,Quan 2,8366.01,,
Land,"Mặt tiền đường 2 chiều, rộng 30m - Phạm Văn Bạch, Tân Bình, Hồ Chí Minh 6 tầng - Chỉ 15 tỷ",14990000000,"599,600",72,4,18,8,8,Quan Tan Binh,8327.78,,
House,Khu Vực Hiếm Nhà Bán Trần Hưng Đạo Quận 5 Phường 7.,13500000000,"540,000",65,3.9,16,3,4,Quan 5,8307.69,,
House,Bán nhà Nguyễn Cảnh Chân Cầu Kho Quận 1 Hẻm 8m 4x15m 2 lầu nhỉnh 12 tỷ,12400000000,"496,000",60,4,15,2,1,Quan 1,8266.67,,
House,(G iảm chào) Nhỉnh 15Ty có ngay CHDV 7 lầu đang cho t huê sáutám triệu,15500000000,"620,000",75,5,15,1,1,Quan 7,8266.67,,
House,NHÀ HXH HOÀNG VĂN THỤ PHÚ NHUẬN - CĂN GÓC - NỞ HẬU - CÓ CỬA SAU - NHÍCH 6 T.Ỷ,6800000000,"272,000",33,3,10,4,3,Quan Phu Nhuan,8242.42,,
House,NHÀ HXH HOÀNG VĂN THỤ PHÚ NHUẬN - CĂN GÓC - NỞ HẬU - CÓ CỬA SAU - NHÍCH 6 T.Ỷ,6800000000,"272,000",33,3,10,4,3,Quan Phu Nhuan,8242.42,,
House,NHÀ HXH HOÀNG VĂN THỤ PHÚ NHUẬN - CĂN GÓC - NỞ HẬU - CÓ CỬA SAU - NHÍCH 6 T.Ỷ,6800000000,"272,000",33,3,10,4,3,Quan Phu Nhuan,8242.42,,
House,"Bán Nhà 5 Tầng 4,5×14 Mặt Tiền Đường Thông Phan Đăng Lưu Phú Nhuận Hơn 12,8 Tỷ",12900000000,"516,000",63,4.5,14,7,6,Quan Phu Nhuan,8190.48,,
House,Hẻm Nhựa 8m Toà Nhà Đường Tô Hiến Thành Quận 10 Phường 13.,26500000000,"1,060,000",130,6,21,5,7,Quan 10,8153.85,,
House,"Bán nhà góc 2MT đường 3 Tháng 2, Q10. 4,5x25m. công nhận 140m2. Giá 28,5 tỷ TL.",28500000000,"1,140,000",140,4.5,25,4,5,Quan 10,8142.86,,
Apartment,🈴CĂN HỘ DỊCH VỤ 18 PHÒNG-PHÚ NHUẬN-THU 130Tr/Tháng-CHỈ 23.8 TỶ🍀,23000000000,"920,000",113,4.8,23,1,1,Quan Phu Nhuan,8141.59,,
House,"Nhà Bán Nguyễn Thị Minh Khai, Đẹp Lung Linh 4 tâng, Chỉ 7.5 tỷ Bến Thành Quận 1",7500000000,"300,000",37,35,11,3,3,Quan 1,8108.11,,
House,CÔNG SUẤT CHO THUÊ 50TR/THÁNG-MẶT TIỀN KINH DOANH ĐƯỜNG SỐ 5 NGAY CHỢ TÂN MỸ - NHÀ MỚI NỘI THẤT,12500000000,"500,000",62,4,16,5,4,Quan 7,8064.52,,
House,NHÀ BAN ĐƯỜNG SỐ 5 CHỢ TÂN MỸ QUẬN 7 - 62m2 - 12TY5,12500000000,"500,000",62,4,15.5,5,5,Quan 7,8064.52,,
House,Bán nhà gần Nguyễn Thị Minh Khai Quận 3 -  40m4 – 5 tầng – chỉ 8 tỷ.,8000000000,"320,000",40,3.5,11.4,4,3,Quan 3,8000,,
House,🔥✅ 5 Tầng - HXH Lớn - Quận 10 - Đang Có Dòng Tiền - Chỉ 10 T.ỷ thương lượng,10000000000,"400,000",50,4,14,8,8,Quan 10,8000,,
House,"Bán Nhà MẶT TIỀN KD đường Đinh Bộ Lĩnh,Q.Bình Thạnh,DT:4mx20m,KC:,TRỆT,1 lầu,Giá:16 tỷ",16000000000,"640,000",80,4,20,4,5,Quan Binh Thanh,8000,,
Apartment,HÀ PHỐ CAO CẤP CÓ THANG MÁY ĐƯỜNG PHAN HUY ÍCH - P.14 - GÒ VẤP,12000000000,"480,000",60,4,15,4,5,Quan Go Vap,8000,,
Apartment,HÀ PHỐ CAO CẤP CÓ THANG MÁY ĐƯỜNG PHAN HUY ÍCH - P.14 - GÒ VẤP,12000000000,"480,000",60,4,15,4,5,Quan Go Vap,8000,,
Villa,"+1 Bán Biệt thự Thảo Điền, Quận 2, Thủ Đức - Siêu phẩm có dòng tiền 36.000$/Năm",43000000000,"1,720,000",215,19,21.5,3,3,Quan 2,8000,,
Villa,"+1 Bán Biệt thự Thảo Điền, Quận 2, Thủ Đức - Siêu phẩm có dòng tiền 36.000$/Năm",43000000000,"1,720,000",215,19,21.5,3,3,Quan 2,8000,,
House,"Bán gấp nhà mặt tiền Lê Lợi Gò Vấp 209m2 chỉ 41,5 tỷ, 3 tầng, nhà mặt tiền đường đối diện trường",41500000000,"1,660,000",209,7,26,2,2,Quan Go Vap,7942.58,,
House,"Bán Nhà Hẻm Xe Hơi đường Trần Văn Đang,Q.3,DT:4mx18m,KC:5 lầu,Giá:14,25 tỷ",14250000000,"570,000",72,4,18,1,1,Quan 3,7916.67,,
House,"SIÊU PHẨM 66m2  TÂN BÌNH- Nhà đẹp 4 TẦNG Âu Cơ, 4PN, 4WC, đường 6m, hoàn công đủ, ĐẦY ĐỦ CÔNG NĂNG",13000000000,"520,000",66,4.1,16.4,4,4,Quan Tan Binh,7878.79,,
